time,mem_total_GB,mem_used_GB,mem_percent,disk_total_GB,disk_used_GB,disk_percent,dir_used_GB
2025-06-06 19:22:34,15.59,2.94,20.4,1006.85,44.09,4.6,0.0
2025-06-06 19:22:36,15.59,2.89,20.1,1006.85,44.09,4.6,0.0
2025-06-06 19:22:38,15.59,2.90,20.1,1006.85,44.09,4.6,0.0
2025-06-06 19:22:40,15.59,2.89,20.1,1006.85,44.09,4.6,0.0
2025-06-06 19:22:42,15.59,2.89,20.1,1006.85,44.09,4.6,0.0
2025-06-06 19:22:44,15.59,2.89,20.1,1006.85,44.09,4.6,0.0
2025-06-06 19:22:46,15.59,3.42,23.5,1006.85,44.17,4.6,0.0
2025-06-06 19:22:48,15.59,3.42,23.5,1006.85,44.17,4.6,0.0
2025-06-06 19:22:50,15.59,3.38,23.2,1006.85,44.31,4.6,0.0
2025-06-06 19:22:52,15.59,3.02,21.0,1006.85,44.61,4.7,0.0
2025-06-06 19:22:54,15.59,3.40,23.4,1006.85,44.61,4.7,0.0
2025-06-06 19:22:56,15.59,3.65,24.9,1006.85,44.61,4.7,0.0
2025-06-06 19:22:58,15.59,3.64,24.9,1006.85,44.61,4.7,0.0
2025-06-06 19:23:00,15.59,3.65,24.9,1006.85,44.61,4.7,0.0
2025-06-06 19:23:02,15.59,3.65,25.0,1006.85,44.61,4.7,0.0
2025-06-06 19:23:04,15.59,3.65,25.0,1006.85,44.61,4.7,0.0
2025-06-06 19:23:06,15.59,3.58,24.5,1006.85,44.61,4.7,0.0
2025-06-06 19:23:08,15.59,3.58,24.5,1006.85,44.61,4.7,0.0
2025-06-06 19:23:10,15.59,3.58,24.5,1006.85,44.61,4.7,0.0
2025-06-06 19:23:12,15.59,3.58,24.5,1006.85,44.61,4.7,0.0
2025-06-06 19:23:14,15.59,3.58,24.5,1006.85,44.61,4.7,0.0
2025-06-06 19:23:16,15.59,3.58,24.5,1006.85,44.61,4.7,0.0
2025-06-06 19:23:18,15.59,3.58,24.5,1006.85,44.61,4.7,0.0
2025-06-06 19:23:20,15.59,3.58,24.5,1006.85,44.61,4.7,0.0
2025-06-06 19:23:22,15.59,3.58,24.5,1006.85,44.61,4.7,0.0
2025-06-06 19:23:24,15.59,3.58,24.5,1006.85,44.61,4.7,0.0
2025-06-06 19:23:26,15.59,3.58,24.5,1006.85,44.61,4.7,0.0
2025-06-06 19:23:28,15.59,3.58,24.6,1006.85,44.61,4.7,0.0
2025-06-06 19:23:30,15.59,3.59,24.6,1006.85,44.61,4.7,0.0
2025-06-06 19:23:32,15.59,3.59,24.6,1006.85,44.61,4.7,0.0
2025-06-06 19:23:34,15.59,3.59,24.6,1006.85,44.61,4.7,0.0
2025-06-06 19:23:36,15.59,3.59,24.6,1006.85,44.61,4.7,0.0
2025-06-06 19:23:38,15.59,3.58,24.5,1006.85,44.61,4.7,0.0
2025-06-06 19:23:40,15.59,3.58,24.5,1006.85,44.61,4.7,0.0
2025-06-06 19:23:42,15.59,3.58,24.5,1006.85,44.61,4.7,0.0
2025-06-06 19:23:44,15.59,3.59,24.6,1006.85,44.61,4.7,0.0
2025-06-06 19:23:46,15.59,3.59,24.6,1006.85,44.61,4.7,0.0
2025-06-06 19:23:48,15.59,3.59,24.6,1006.85,44.61,4.7,0.0
2025-06-06 19:23:50,15.59,3.60,24.6,1006.85,44.61,4.7,0.0
2025-06-06 19:23:52,15.59,3.60,24.6,1006.85,44.61,4.7,0.0
2025-06-06 19:23:54,15.59,3.60,24.6,1006.85,44.61,4.7,0.0
2025-06-06 19:23:56,15.59,3.60,24.6,1006.85,44.61,4.7,0.0
2025-06-06 19:23:58,15.59,3.59,24.6,1006.85,44.61,4.7,0.0
2025-06-06 19:24:00,15.59,3.60,24.6,1006.85,44.61,4.7,0.0
2025-06-06 19:24:02,15.59,3.59,24.6,1006.85,44.61,4.7,0.0
2025-06-06 19:24:04,15.59,3.58,24.6,1006.85,44.61,4.7,0.0
2025-06-06 19:24:06,15.59,3.59,24.6,1006.85,44.61,4.7,0.0
2025-06-06 19:24:08,15.59,3.59,24.6,1006.85,44.61,4.7,0.0
2025-06-06 19:24:10,15.59,3.59,24.6,1006.85,44.61,4.7,0.0
2025-06-06 19:24:12,15.59,3.59,24.6,1006.85,44.61,4.7,0.0
2025-06-06 19:24:14,15.59,3.60,24.6,1006.85,44.61,4.7,0.0
2025-06-06 19:24:16,15.59,3.60,24.6,1006.85,44.61,4.7,0.0
2025-06-06 19:24:18,15.59,3.59,24.6,1006.85,44.61,4.7,0.0
2025-06-06 19:24:20,15.59,3.60,24.6,1006.85,44.61,4.7,0.0
